type,audit_value,audit_origin,audit_class,audit_category,severity,audit_description
FD_PAIR,1317,KERN,SC,system,informational,Information for pipe and socketpair system calls
FEATURE_CHANGE,1328,KERN,IND,system,informational,Audit feature changed value
FS_RELABEL,2309,USER,IND,mac,low,Filesystem relabeled
FS_WATCH,1301,KERN,DEP,system,low,Deprecated
GET,1000,USER,CTL,system,low,Get status
GET_FEATURE,1019,USER,CTL,system,low,Get which features are enabled
GRP_AUTH,1126,USER,IND,user,low,Authentication for group password
GRP_CHAUTHTOK,1133,USER,IND,user,low,Group account password or PIN changed
GRP_MGMT,1132,USER,IND,user,low,Group account attribute was modified
INTEGRITY_DATA,1800,KERN,SC,system,informational,Data integrity verification
INTEGRITY_HASH,1803,KERN,SC,system,informational,Integrity HASH type
INTEGRITY_METADATA,1801,KERN,SC,system,informational,Metadata integrity verification
INTEGRITY_PCR,1804,KERN,SC,system,critical,PCR (Platform Configuration Register) invalidation messages
INTEGRITY_RULE,1805,KERN,SC/IND,mac,informational,Policy rule
INTEGRITY_STATUS,1802,KERN,SC,system,informational,Integrity enable status
IPC,1303,KERN,SC,system,informational,System call IPC (Inter-Process Communication) object
IPC_SET_PERM,1311,KERN,SC,system,informational,IPC new permissions record type
KERNEL,2000,KERN,IND,system,informational,Kernel audit status
KERNEL_OTHER,1316,KERN,IND,system,informational,For use by 3rd party modules
KERN_MODULE,1330,KERN,SC,system,medium,Kernel Module events
LABEL_LEVEL_CHANGE,2304,USER,IND,mac,medium,Object level SELinux label modified
LABEL_OVERRIDE,2303,USER,IND,mac,high,Administrator is overriding a SELinux label
LIST,1002,USER,DEP,system,low,List syscall rules -- deprecated
LIST_RULES,1013,USER,CTL,system,low,List syscall filtering rules
LOGIN,1006,KERN,IND,user,informational,Define the login ID and information
MAC_CALIPSO_ADD,1418,KERN,SC,network,medium,NetLabel: add CALIPSO DOI (Domain of Interpretation) entry
MAC_CALIPSO_DEL,1419,KERN,SC,network,medium,NetLabel: delete CALIPSO DOI (Domain of Interpretation) entry
MAC_CHECK,1134,USER,IND,mac,low,User space MAC (Mandatory Access Control) decision results
MAC_CIPSOV4_ADD,1407,KERN,SC,network,high,NetLabel: add CIPSOv4 (Commercial Internet Protocol Security Option) DOI (Domain of Interpretation) entry
MAC_CIPSOV4_DEL,1408,KERN,SC,network,high,NetLabel: del CIPSOv4 (Commercial Internet Protocol Security Option) DOI (Domain of Interpretation) entry
MAC_CONFIG_CHANGE,1405,KERN,SC,mac,medium,SELinux Boolean value modification
MAC_IPSEC_ADDSA,1411,KERN,DEP,network,low,Not used
MAC_IPSEC_ADDSPD,1413,KERN,DEP,network,low,Not used
MAC_IPSEC_DELSA,1412,KERN,DEP,network,low,Not used
MAC_IPSEC_DELSPD,1414,KERN,DEP,network,low,Not used
MAC_IPSEC_EVENT,1415,KERN,SC,network,informational,Audit an IPsec event
MAC_MAP_ADD,1409,KERN,SC,network,high,NetLabel: add LSM (Linux Security Module) domain mapping
MAC_MAP_DEL,1410,KERN,SC,network,high,NetLabel: del LSM (Linux Security Module) domain mapping
MAC_POLICY_LOAD,1403,KERN,SC,mac,informational,SELinux Policy file load
MAC_STATUS,1404,KERN,SC,mac,critical,"SELinux mode (enforcing, permissive, off) changed"
MAC_UNLBL_ALLOW,1406,KERN,SC,network,low,NetLabel: allow unlabeled traffic
MAC_UNLBL_STCADD,1416,KERN,SC,network,low,NetLabel: add a static label
MAC_UNLBL_STCDEL,1417,KERN,SC,network,low,NetLabel: del a static label
MAKE_EQUIV,1015,USER,CTL,user,low,Append to watched tree
MMAP,1323,KERN,SC,system,informational,Mmap system call file descriptor and flags
MQ_GETSETATTR,1315,KERN,SC,system,informational,POSIX MQ get/set attribute record type
MQ_NOTIFY,1314,KERN,SC,system,informational,POSIX MQ notify record type
MQ_OPEN,1312,KERN,SC,system,informational,POSIX MQ open record type
MQ_SENDRECV,1313,KERN,SC,system,informational,POSIX MQ send/receive record type
NETFILTER_CFG,1325,KERN,IND/SC,network,medium,Netfilter chain modifications
NETFILTER_PKT,1324,KERN,IND,network,informational,Packets traversing netfilter chains
OBJ_PID,1318,KERN,SC,system,informational,ptrace target
PATH,1302,KERN,SC,system,informational,Filename path information
PROCTITLE,1327,KERN,SC,system,informational,Process Title info
REPLACE,1329,KERN,CTL,system,medium,Replace auditd if this probe unanswered
RESP_ACCT_LOCK,2207,USER,IND,user,critical,User account was locked
RESP_ACCT_LOCK_TIMED,2205,USER,IND,user,critical,User account locked for time
RESP_ACCT_REMOTE,2204,USER,IND,user,critical,User account locked from remote access
RESP_ACCT_UNLOCK_TIMED,2206,USER,IND,user,critical,User account unlocked from time
RESP_ALERT,2201,USER,IND,system,critical,Alert email was sent
RESP_ANOMALY,2200,USER,IND,system,critical,Anomaly not reacted to
RESP_EXEC,2210,USER,IND,system,critical,Execute a script
RESP_HALT,2212,USER,IND,system,critical,Take the system down
RESP_KILL_PROC,2202,USER,IND,system,critical,Kill program
RESP_SEBOOL,2209,USER,IND,mac,medium,Set an SELinux boolean
RESP_SINGLE,2211,USER,IND,system,critical,Go to single user mode
RESP_TERM_ACCESS,2203,USER,IND,user,critical,Terminate session
RESP_TERM_LOCK,2208,USER,IND,user,critical,Terminal was locked
ROLE_ASSIGN,2301,USER,IND,mac,medium,Administrator assigned user to SELinux role
ROLE_MODIFY,2311,USER,IND,mac,medium,Administrator modified an SELinux role
ROLE_REMOVE,2302,USER,IND,mac,medium,Administrator removed user from SELinux role
SECCOMP,1326,KERN,IND,system,high,Secure Computing event
SELINUX_ERR,1401,KERN,SC,mac,critical,Internal SELinux errors
SERVICE_START,1130,USER,IND,system,informational,Service (daemon) start
SERVICE_STOP,1131,USER,IND,system,informational,Service (daemon) stop
SET,1001,USER,CTL,system,medium,Set status (enable/disable/auditd)
SET_FEATURE,1018,USER,CTL,system,high,Turn an audit feature on or off
SIGNAL_INFO,1010,USER,CTL,system,informational,Get info about sender of signal to auditd
SOCKADDR,1306,KERN,SC,network,informational,System call socket address argument information
SOCKETCALL,1304,KERN,SC,network,informational,System call socketcall arguments
SOFTWARE_UPDATE,,,,system,informational,Software Update
SYSCALL,1300,KERN,SC,system,medium,System call event information
SYSTEM_BOOT,1127,USER,IND,system,informational,System boot
SYSTEM_RUNLEVEL,1129,USER,IND,system,medium,System runlevel change
SYSTEM_SHUTDOWN,1128,USER,IND,system,medium,System shutdown
TEST,1120,USER,IND,system,informational,Used for test success messages
TRIM,1014,USER,CTL,system,informational,Trim junk from watched tree
TRUSTED_APP,1121,USER,IND,system,informational,Trusted app msg - freestyle text
TTY,1319,KERN,IND,system,informational,Input on an administrative TTY
TTY_GET,1016,USER,CTL,system,low,Get TTY auditing status
TTY_SET,1017,USER,CTL,system,low,Set TTY auditing status
USER,1005,USER,DEP,user,low,Message from userspace -- deprecated
USER_ACCT,1101,USER,IND,user,low,User system access authorization
USER_AUTH,1100,USER,IND,user,low,User system access authentication
USER_AVC,1107,USER,IND,user,medium,User space AVC (Access Vector Cache) message
USER_CHAUTHTOK,1108,USER,IND,user,medium,User account password or PIN changed
USER_CMD,1123,USER,IND,user,low,User shell command and args
USER_DEVICE,1137,USER,IND,user,low,User space hotplug device changes
USER_END,1106,USER,IND,user,informational,User session end
USER_ERR,1109,USER,IND,user,low,User account state error
USER_LABELED_EXPORT,2305,USER,IND,user,low,Object exported with SELinux label
USER_LOGIN,1112,USER,IND,user,low,User has logged in
USER_LOGOUT,1113,USER,IND,user,low,User has logged out
USER_MAC_CONFIG_CHANGE,2312,USER,IND,mac,high,Change made to MAC (Mandatory Access Control) policy
USER_MAC_POLICY_LOAD,2310,USER,IND,user,informational,Usersapce daemon loaded SELinux policy
USER_MGMT,1102,USER,IND,user,informational,User account attribute change
USER_ROLE_CHANGE,2300,USER,IND,user,low,User changed to a new SELinux role
USER_SELINUX_ERR,1122,USER,IND,user,high,SELinux user space error
USER_START,1105,USER,IND,user,informational,User session start
USER_TTY,1124,USER,IND,user,informational,Non-ICANON TTY input meaning
USER_UNLABELED_EXPORT,2306,USER,IND,user,low,Object exported without SELinux label
USYS_CONFIG,1111,USER,IND,user,medium,User space system config change
VIRT_CONTROL,2500,USER,IND,system,informational,"Start, Pause, Stop VM"
VIRT_CREATE,2504,USER,IND,system,informational,Creation of guest image
VIRT_DESTROY,2505,USER,IND,system,informational,Destruction of guest image
VIRT_INTEGRITY_CHECK,2503,USER,IND,system,informational,Guest integrity results
VIRT_MACHINE_ID,2502,USER,IND,system,informational,Binding of label to VM
VIRT_MIGRATE_IN,2506,USER,IND,system,informational,Inbound guest migration info
VIRT_MIGRATE_OUT,2507,USER,IND,system,informational,Outbound guest migration info
VIRT_RESOURCE,2501,USER,IND,system,informational,Resource assignment
WATCH_INS,1007,USER,DEP,system,informational,Insert file/dir watch entry
WATCH_LIST,1009,USER,DEP,system,low,List all file/dir watches
WATCH_REM,1008,USER,DEP,system,medium,Remove file/dir watch entry
